FAO commodity group,FAO group code,Family,Corrected Species,Original Species,Authority,Notes
Grapefruit (inc. pomelos),507,Rutaceae,Citrus x paradisi,Citrus x paradisi,Macfad.,FAO lists this as Citrus paradisi
Grapes,560,Vitaceae,Vitis vinifera,Vitis vinifera,L.,
"Groundnuts, with shell",242,Fabaceae,Arachis hypogaea,Arachis hypogaea,L.,
"Hazelnuts, with shell",225,Betulaceae,Corylus avellana,Corylus avellana,L.,
Hemp tow waste,777,Cannabaceae,Cannabis sativa,Canabis sativa,L.,
Hempseed,336,Cannabaceae,Cannabis sativa,Canabis sativa,L.,
Hops,677,Cannabaceae,Humulus lupulus,Humulus lupulus,L.,
Jojoba seed,277,Simmondsiaceae,Simmondsia chinensis,Simmondsia chinensis,(Link) C. K. Schneid.,FAO also lists the synonym Simmondsia californica Nutt.
Jute,780,Malvaceae,Corchorus capsularis,Corchorus capsularis,L.,
Jute,780,Malvaceae,Corchorus olitorius,Corchorus olitorius,L.,
Kapok fruit,310,Malvaceae,Ceiba pentandra,Ceiba pendantra,(L.) Gaertn.,
Karite nuts (sheanuts),263,Sapotaceae,Vitellaria paradoxa,Vitellaria paradoxa,C.F. Gaertn.,FAO lists the synonym Butyrospermum parkii (G. Don) Kotschy
Kiwi fruit,592,Actinidiaceae,Actinidia deliciosa,Actinidia deliciosa,C.F.Liang & A.R.Ferguson,
Kola nuts,224,Malvaceae,Cola acuminata,Cola acuminata,(P. Beauv.) Schott & Endl. ,
Kola nuts,224,Malvaceae,Cola nitida,Cola nitida,(Vent.) A. Chev. ,FAO also lists the synonym Cola vera K.Schum
"Leeks, other alliaceous vegetables",407,Liliaceae,Allium porrum,Allium porrum,L.,
"Leeks, other alliaceous vegetables",407,Liliaceae,Allium schoenoprasum,Allium schoenoprasum,L.,
Lemons and limes,497,Rutaceae,Citrus aurantiifolia,Citrus x aurantiifolia,(Christm.) Swingle,FAO lists the synonym Citrus aurantiifolia (Christm.) Swingle
Lemons and limes,497,Rutaceae,Citrus limon,Citrus limetta,Risso,
Lemons and limes,497,Rutaceae,Citrus limon,Citrus x limon,(L.) Burm.f.,FAO lists the synonym Citrus limon (L.) Burm. f.
Lentils,201,Fabaceae,Lens culinaris,Lens culinaris,Medikus,FAO lists synonyms Lens esculenta Moench and Ervum lens L.
Lettuce and chicory,372,Asteraceae,Cichorium endivia,Cichorium endivia,L.,FAO lists Cichorium endivia var. crispa and Cichorium endivia var. latifolia
Lettuce and chicory,372,Asteraceae,Cichorium intybus,Cichorium intybus,L.,FAO lists synonym Cichorium intybus var. foliosum 
Lettuce and chicory,372,Asteraceae,Lactuca sativa,Lactuca sativa,L.,
Linseed,333,Linaceae,Linum usitatissimum,Linum usitatissimum,L.,
Lupins,210,Fabaceae,Lupinus spp,Lupinus spp,NA,"FAO does not list any species; USDA recognizes over 50 species in the genus (all of which have common names that include ""lupin"")'"
Maize,56,Poaceae,Zea mays,Zea mays,L.,
"Maize, green",446,Poaceae,Zea mays,Zea mays,L.,"FAO lists this as Zea mays, particularly var. saccharata"
"Mangoes, mangosteens, guavas",571,Anacardiaceae,Mangifera indica,Mangifera indica,L.,
Manila fibre (abaca),809,Musaceae,Musa textilis,Musa textilis,Née,
Mate,671,Aquifoliaceae,Ilex paraguariensis,Ilex paraguariensis,A. St. Hil.,
"Melons, other (inc.cantaloupes)",568,Cucurbitaceae,Cucumis melo,Cucumis melo,L.,
Melonseed,299,Cucurbitaceae,Cucumis melo,Cucumis melo,L.,
Millet,79,Poaceae,Echinochloa frumentacea,Echinochloa esculenta,(A. Braun) H. Scholz ,"FAO lists this species as ""Japanese millet"", with the following taxonomy: Echinocloa frumentacea. However, this species is not acknowledged by USDA, and E. esculenta is widely regarded as Japanese millet (although not listed explicitly by FAO, it is included here)"
Millet,79,Poaceae,Eleusine coracana ,Eleusine coracana ,(L.) Gaertn. ,
Millet,79,Poaceae,Panicum miliaceum,Panicum miliaceum,L.,
Millet,79,Poaceae,Paspalum scrobiculatum ,Paspalum scrobiculatum ,L.,
Millet,79,Poaceae,Pennisetum glaucum,Pennisetum glaucum,(L.) R. Br. ,
Millet,79,Poaceae,Setaria italica,Setaria italica,(L.) P. Beauv. ,
Mushrooms and truffles,449,Agaricaceae,Agaricus bisporus,Agaricus bisporus,(J.E.Lange) Imbach,
Mushrooms and truffles,449,Agaricaceae,Agaricus campestris,Agaricus campestris,L.,
Mushrooms and truffles,449,Boletaceae,Boletus edulis ,Boletus edulis ,Bull. (1782),
Mushrooms and truffles,449,Morchellaceae,Morchella spp,Morchella spp,(L.) Pers. ,
Mushrooms and truffles,449,Toberaceae,Tuber magnatum,Tuber magnatum,P.Micheli ex F.H.Wigg.,
Mustard seed,292,Brassicaceae,Brassica nigra,Brassica nigra,(L.) W.D.J. Koch ,FAO also lists the synonym Sinapis nigra L.
Mustard seed,292,Brassicaceae,Sinapis alba,Sinapis alba,L.,"FAO also lists the synonyms Brassica alba Rabenh., non L. and Brassica hirta Moench"
"Nutmeg, mace and cardamoms",702,Zingiberaceae,Aframomum angustifolium,Aframomum angustifolium,Sonn.,This taxonomy is very confusing; synonym includes Amomum angustifolium
"Nutmeg, mace and cardamoms",702,Zingiberaceae,Aframomum melegueta,Aframomum melegueta,Schum.,"FAO also lists in this group Aframomum hambury, but information on this species cannot be found"
"Nutmeg, mace and cardamoms",702,Zingiberaceae,Amomum aromaticum,Amomum aromaticum,Roxb.,
"Nutmeg, mace and cardamoms",702,Zingiberaceae,Elettaria cardamomum,Elettaria cardamomum,(L.) Maton ,FAO also lists synonym Amomum cardamomum L.
"Nutmeg, mace and cardamoms",702,Myristicaceae,Myristica fragrans,Myristica fragrans,Houtt. ,
"Nuts, nes",234,Burseraceae,Canarium album,Canarium album,(Lour.) Rausch. ,FAO lists this (and other Canarium species) as Canarium spp. But this species corresponds to the FAO commodity (Chinese olives)
"Nuts, nes",234,Burseraceae,Canarium indicum,Canarium indicum,L.,FAO lists this (and other Canarium species) as simply Canarium spp. But this species corresponds to the FAO commodity Java almond)
"Nuts, nes",234,Burseraceae,Canarium ovatum,Canarium ovatum,Engl.,FAO lists this (and other Canarium species) as simply Canarium spp. But this species corresponds to the FAO commodity (pili nut)
"Nuts, nes",234,Burseraceae,Canarium pimela,Canarium pimela,Konig,FAO lists this (and other Canarium species) as simply Canarium spp. But this species corresponds to the FAO commodity (Chinese olives)
"Nuts, nes",234,Juglandaceae,Carya illinoinensis,Carya illinoinensis,(Wangenh.) K. Koch ,
"Nuts, nes",234,Caryocaraceae,Caryocar nuciferum ,Caryocar nuciferum ,L.,
"Nuts, nes",234,Lecythidaceae,Lecythis zabucajo ,Lecythis zabucajo ,Aubl.,
"Nuts, nes",234,Proteaceae,Macadamia ternifolia ,Macadamia ternifolia ,Maiden & Betche ,
"Nuts, nes",234,Pinaceae,Pinus pinea,Pinus pinea,L.,
Oats,75,Poaceae,Avena sativa,Avena sativa,L.,"FAO also lists Avena spp., but this may correspond to ~ 15 other species as per USDA"
"Oil, palm fruit",254,Arecaceae,Elaeis guineensis,Elais guineensis,Jacq. ,
Oilseeds nes,339,Euphorbiaceae,Aleurites moluccanus ,Aleurites moluccanus ,(L.) Willd. ,"FAO lists the synonym Aleurites moluccana (L.) Willd., orth. var."
Oilseeds nes,339,Arecaceae,Astrocaryum aculeatum,Astrocaryum aculeatum,G. Mey.,"FAO lists this only as Astrocaryum spp.; USDA does not recognize this genus, however, FAO lists this item as ""tukuma kernel"", which corresponds with A. aculeatum"
Oilseeds nes,339,Meliaceae,Carapa guianensis ,Carapa guianensis ,Aubl.,
Oilseeds nes,339,Euphorbiaceae,Croton tiglium ,Croton tiglium ,L.,
Oilseeds nes,339,Fagaceae,Fagus sylvatica ,Fagus sylvatica ,L.,
Oilseeds nes,339,Asteraceae,Guizotia abyssinica ,Guizotia abyssinica ,(L. f.) Cass. ,
Oilseeds nes,339,Euphorbiaceae,Jatropha curcas ,Jatropha curcas ,L.,
Oilseeds nes,339,Chrysobalanaceae,Licania rigida ,Licania rigida ,Benth.,
Oilseeds nes,339,Sapotaceae,Madhuca indica,Madhuca indica,J.F. Gmel. ,FAO lists the synonym Bassia latifolia Roxb.
Oilseeds nes,339,Lamiaceae,Perilla frutescens ,Perilla frutescens ,(L.) Britton ,
Oilseeds nes,339,Fabaceae,Pongamia glabra ,Pongamia glabra ,(L.) Panigrahi ,FAO lists the synonym Pongamia glabra Vent.
Oilseeds nes,339,Dipterocarpaceae,Shorea robusta ,Shorea robusta ,C.F. Gaertn. ,
Okra,430,Malvaceae,Abelmoschus esculentus,Abelmoschus esculentus,(L.) Moench,FAO also lists synonym Hibiscus esculentus L.
Olives,260,Oleaceae,Olea europaea,Olea europaea,L.,
"Onions, dry",403,Liliaceae,Allium cepa,Allium cepa,L.,
"Onions, shallots, green",402,Liliaceae,Allium cepa,Allium ascalonicum,L.,"While USDA recognizes this taxon, it may be a synonym for Allium cepa L. var. aggregatum G. Don (as per the US National Germplasm database)"
"Onions, shallots, green",402,Liliaceae,Allium cepa,Allium cepa,L.,
"Onions, shallots, green",402,Liliaceae,Allium fistulosum,Allium fistulosum,L.,
Oranges,490,Rutaceae,Citrus aurantium,Citrus x aurantium,L.,FAO lists this as Citrus aurantium
Oranges,490,Rutaceae,Citrus sinensis,Citrus x sinensis,(L.) Osbeck,FAO lists this as Citrus sinensis
Papayas,600,Caricaceae,Carica papaya,Carica papaya,L.,
Peaches and nectarines,534,Rosaceae,Prunus persica,Prunus persica,Batsch ,"FAO also lists synonym Amygdalus persica L. Note however, this is technically a synonym for a variety of P. persica (var. persica); FAO also lists synonym Persica laevis"
Pears,521,Rosaceae,Pyrus communis,Pyrus communis,L.,
"Peas, dry",187,Fabaceae,Pisum sativum,Pisum sativum,L.,FAO also lists synonym Pisum arvense L.
"Peas, green",417,Fabaceae,Pisum sativum,Pisum sativum,L.,FAO does not list any synonyms for this group (unlike group 187)
Pepper (piper spp.),687,Piperaceae,Piper longum,Piper longum,L.,
Pepper (piper spp.),687,Piperaceae,Piper nigrum,Piper nigrum,L.,
Peppermint,748,Lamiaceae,Mentha spicata,Mentha spicata,L.,"FAO only lists Metha spp., however, since this commodity group is called ""peppermint, spearmint"", this species is added as spearmint as per USDA taxonomy"
Peppermint,748,Lamiaceae,Mentha x piperita,Mentha x piperita,Willd.,
Persimmons,587,Ebenaceae,Diospyros kaki,Diospyros kaki,L. f. ,
Persimmons,587,Ebenaceae,Diospyros virginiana,Diospyros virginiana,L.,
Pigeon peas,197,Fabaceae,Cajanus cajan,Cajanus cajan,(L.) Millsp.,
Pineapples,574,Bromeliaceae,Ananas comosus,Ananas comosus,(L.) Merr.,FAO also lists synonym Ananas sativus
Pistachios,223,Anacardiaceae,Pistacia vera,Pistacia vera,L.,
Plantains,489,Musaceae,Musa x paradisiaca,Musa x paradisiaca,L.,FAO lists this as Musa paradisiaca
Plums and sloes,536,Rosaceae,Prunus domestica,Prunus domestica,L.,
Plums and sloes,536,Rosaceae,Prunus spinosa,Prunus spinosa,L.,
Poppy seed,296,Papaveraceae,Papaver somniferum,Papaver somniferum,L.,
Potatoes,116,Solanaceae,Solanum tuberosum,Solanum tuberosum,L.,
"Pulses, nes",211,Fabaceae,Canavalia ensiformis ,Canavalia ensiformis ,(L.) DC. ,"FAO lists this as Canavalia spp. with the common names ""jack or sword bean""; this species refers to ""jack bean"" as per USDA"
"Pulses, nes",211,Fabaceae,Canavalia gladiata,Canavalia gladiata,(Jacq.) DC. ,"FAO lists this as Canavalia spp. with the common names ""jack or sword bean""; this species refers to ""sword bean"" as per USDA"
"Pulses, nes",211,Fabaceae,Cyamopsis tetragonoloba ,Cyamopsis tetragonoloba ,(L.) Taubert ,
"Pulses, nes",211,Fabaceae,Lablab purpureus,Lablab purpureus,L.,"FAO lists this as Dolichos spp. with the common names hyacinth or lablab; this common term seems to refer to this species listed here (which is recognized by USDA, technically as Lablab purpureus subsp. purpureus)"
"Pulses, nes",211,Fabaceae,Mucuna pruriens,Mucuna pruriens,(L.) DC.,"FAO lists this as Stizolobium spp. or ""velvet bean"", which is a synonym for two different varieties of the species listed here"
"Pulses, nes",211,Fabaceae,Pachyrhizus erosus,Pachyrhizus erosus,(L.) Urb. ,
"Pulses, nes",211,Fabaceae,Psophocarpus tetragonolobus ,Psophocarpus tetragonolobus ,(L.) DC. ,
"Pumpkins, squash and gourds",394,Cucurbitaceae,Cucurbita pepo,Cucurbita pepo,L.,"FAO lists this as Cucurbita spp. but all major cultivated pumpkins, squahses and gourds are varieties of this species"
"Pyrethrum, dried",754,Asteraceae,Chrysanthemum cinerariifolium,Chrysanthemum cinerariifolium,(Trevir.) Vis. ,
Quinces,523,Rosaceae,Chaenomeles japonica,Chaenomeles japonica,(Thunb.) Lindl. ex Spach ,FAO lists synonym Cydonia japonica (Thunb.) Pers.
Quinces,523,Rosaceae,Cydonia oblonga,Cydonia oblonga,Mill.,FAO also lists synonym Cydonia vulgaris Pers.
Quinoa,92,Amaranthaceae,Chenopodium quinoa,Chenopodium quinoa,Willd.,
Ramie,788,Urticaceae,Boehmeria nivea,Boehmeria nivea,(L.) Gaudich.,FAO also lists synonym/ possibly subspecies Boehmeria tenacissima Gaudich.
Rapeseed,270,Brassicaceae,Brassica napus,Brassica napus,L.,
Raspberries,547,Rosaceae,Rubus idaeus,Rubus idaeus,L.,
"Rice, paddy",27,Poaceae,Oryza glaberrima,Oryza glaberrima,Steud. ,"FAO lists this simply as Oryza spp., however, this is the only other cultivated rice species"
"Rice, paddy",27,Poaceae,Oryza sativa,Oryza sativa,L.,
"Roots and tubers, nes",149,Apiaceae,Arracacia xanthorrhiza ,Arracacia xanthorrhiza ,E.N. Bancroft ,FAO lists this as Arracacoa xanthorrhiza but this is a misspelling
"Roots and tubers, nes",149,Cyperaceae,Cyperus esculentus ,Cyperus esculentus ,L.,
"Roots and tubers, nes",149,Asteraceae,Helianthus tuberosus,Helianthus tuberosus,L.,
"Roots and tubers, nes",149,Marantaceae,Maranta arundinacea ,Maranta arundinacea ,L.,
"Roots and tubers, nes",149,Arecaceae,Metroxylon sagu,Metroxylon sagu,Rottb.,"FAO only lists Metroxylon spp. but the corresponding commodity is sago palm, which corresponds with this species (as per USDA)"
"Roots and tubers, nes",149,Oxalidaceae,Oxalis tuberosa ,Oxalis tuberosa ,Molina,
"Roots and tubers, nes",149,Fabaceae,Pachyrhizus erosus,Pachyrhizus erosus,(L.) Urb. ,FAO also lists the synonym Pachyrhizus angulatus Rich. ex DC.
"Roots and tubers, nes",149,Tropaeolaceae,Tropaeolum tuberosum ,Tropaeolum tuberosum ,Ruiz & Pav. ,
"Roots and tubers, nes",149,Basellaceae,Ullucus tuberosus ,Ullucus tuberosus ,Loz.,
"Rubber, natural",836,Euphorbiaceae,Hevea brasiliensis,Hevea brasiliensis,(Willd. ex A. Juss.) Müll. Arg. ,
Rye,71,Poaceae,Secale cereale,Secale cereale,L.,
Safflower seed,280,Asteraceae,Carthamus tinctorius,Carthamus tinctorius,L.,
Seed cotton,328,Malvaceae,Gossypium arboreum,Gossypium arboreum,L.,"FAO lists only Gossypium spp.; note, G. herbaceum is cited as a cultivated cotton species, but USDA recognizes this as a synonym for a variety of G. hirsutum"
Seed cotton,328,Malvaceae,Gossypium barbadense,Gossypium barbadense,L.,"FAO lists only Gossypium spp.; note, G. herbaceum is cited as a cultivated cotton species, but USDA recognizes this as a synonym for a variety of G. hirsutum"
Seed cotton,328,Malvaceae,Gossypium hirsutum,Gossypium hirsutum,L.,"FAO lists only Gossypium spp.; note, G. herbaceum is cited as a cultivated cotton species, but USDA recognizes this as a synonym for a variety of G. hirsutum"
