,Food_code,Main_food_description,novaclass,SR code,SR description,Acceptable List?,Notes
564,13140110,"Light ice cream, bar or stick, chocolate covered, with nuts (formerly ice milk)",4,19335,"Sugars, granulated",No,
564,13140110,"Light ice cream, bar or stick, chocolate covered, with nuts (formerly ice milk)",4,19166,"Cocoa, dry powder, unsweetened, processed with alkali",No,
565,13140110,"Light ice cream, bar or stick, chocolate covered, with nuts (formerly ice milk)",4,16389,"Peanuts, all types, oil-roasted, without salt",No,
566,13140450,"Light ice cream, cone, NFS (formerly ice milk)",4,18271,"Ice cream cones, cake or wafer-type",No,
567,13140450,"Light ice cream, cone, NFS (formerly ice milk)",4,19096,"Ice creams, vanilla, light, soft-serve (formerly Ice milk, vanilla, soft serve)",No,
568,13140500,"Light ice cream, cone, flavors other than chocolate (formerly ice milk)",4,19096,"Ice creams, vanilla, light, soft-serve (formerly Ice milk, vanilla, soft serve)",No,
569,13140500,"Light ice cream, cone, flavors other than chocolate (formerly ice milk)",4,18271,"Ice cream cones, cake or wafer-type",No,
570,13140550,"Light ice cream, cone, chocolate (formerly ice milk)",4,14429,"Water, tap, municipal",No,
571,13140550,"Light ice cream, cone, chocolate (formerly ice milk)",4,19335,"Sugars, granulated",No,
572,13140550,"Light ice cream, cone, chocolate (formerly ice milk)",4,1091,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",No,
573,13140550,"Light ice cream, cone, chocolate (formerly ice milk)",4,1003,"Butter oil, anhydrous",No,
574,13140550,"Light ice cream, cone, chocolate (formerly ice milk)",4,19860,"Cocoa, dry powder, hi-fat or breakfast, processed with alkali",No,
575,13140550,"Light ice cream, cone, chocolate (formerly ice milk)",4,18271,"Ice cream cones, cake or wafer-type",No,
576,13140600,"Light ice cream, sundae, soft serve, chocolate or fudge topping, with whipped cream (formerly ice milk)",4,19088,"Ice creams, vanilla, light (formerly Ice milk, vanilla)",No,
577,13140600,"Light ice cream, sundae, soft serve, chocolate or fudge topping, with whipped cream (formerly ice milk)",4,19348,"Syrups, chocolate, fudge-type",No,
578,13140600,"Light ice cream, sundae, soft serve, chocolate or fudge topping, with whipped cream (formerly ice milk)",4,1052,"Cream, fluid, light whipping",No,
579,13140630,"Light ice cream, sundae, soft serve, fruit topping, with whipped cream (formerly ice milk)",4,19088,"Ice creams, vanilla, light (formerly Ice milk, vanilla)",No,
580,13140630,"Light ice cream, sundae, soft serve, fruit topping, with whipped cream (formerly ice milk)",4,19137,"Toppings, strawberry",No,
581,13140630,"Light ice cream, sundae, soft serve, fruit topping, with whipped cream (formerly ice milk)",4,1052,"Cream, fluid, light whipping",No,
582,13140650,"Light ice cream, sundae, soft serve, not fruit or chocolate topping, with whipped cream (formerly ice milk)",4,19088,"Ice creams, vanilla, light (formerly Ice milk, vanilla)",No,
583,13140650,"Light ice cream, sundae, soft serve, not fruit or chocolate topping, with whipped cream (formerly ice milk)",4,19350,"Syrups, corn, light",No,
583,13140650,"Light ice cream, sundae, soft serve, not fruit or chocolate topping, with whipped cream (formerly ice milk)",4,1151,"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)",No,
583,13140650,"Light ice cream, sundae, soft serve, not fruit or chocolate topping, with whipped cream (formerly ice milk)",4,19335,"Sugars, granulated",No,
583,13140650,"Light ice cream, sundae, soft serve, not fruit or chocolate topping, with whipped cream (formerly ice milk)",4,1001,"Butter, salted",No,
584,13140650,"Light ice cream, sundae, soft serve, not fruit or chocolate topping, with whipped cream (formerly ice milk)",4,1052,"Cream, fluid, light whipping",No,
585,13140660,"Light ice cream, sundae, soft serve, chocolate or fudge topping (without whipped cream) (formerly ice milk)",4,19096,"Ice creams, vanilla, light, soft-serve (formerly Ice milk, vanilla, soft serve)",No,
586,13140660,"Light ice cream, sundae, soft serve, chocolate or fudge topping (without whipped cream) (formerly ice milk)",4,19348,"Syrups, chocolate, fudge-type",No,
587,13140670,"Light ice cream, sundae, soft serve, fruit topping (without whipped cream) (formerly ice milk)",4,19096,"Ice creams, vanilla, light, soft-serve (formerly Ice milk, vanilla, soft serve)",No,
588,13140670,"Light ice cream, sundae, soft serve, fruit topping (without whipped cream) (formerly ice milk)",4,19137,"Toppings, strawberry",No,
589,13140680,"Light ice cream, sundae, soft serve, not fruit or chocolate topping (without whipped cream) (formerly ice milk)",4,19096,"Ice creams, vanilla, light, soft-serve (formerly Ice milk, vanilla, soft serve)",No,
590,13140680,"Light ice cream, sundae, soft serve, not fruit or chocolate topping (without whipped cream) (formerly ice milk)",4,19350,"Syrups, corn, light",No,
590,13140680,"Light ice cream, sundae, soft serve, not fruit or chocolate topping (without whipped cream) (formerly ice milk)",4,1151,"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)",No,
590,13140680,"Light ice cream, sundae, soft serve, not fruit or chocolate topping (without whipped cream) (formerly ice milk)",4,19335,"Sugars, granulated",No,
590,13140680,"Light ice cream, sundae, soft serve, not fruit or chocolate topping (without whipped cream) (formerly ice milk)",4,1001,"Butter, salted",No,
591,13140700,"Light ice cream, creamsicle or dreamsicle (formerly ice milk)",4,19088,"Ice creams, vanilla, light (formerly Ice milk, vanilla)",No,
592,13140700,"Light ice cream, creamsicle or dreamsicle (formerly ice milk)",4,19097,"Sherbet, orange",No,
593,13140900,"Light ice cream, fudgesicle (formerly ice milk)",4,19088,"Ice creams, vanilla, light (formerly Ice milk, vanilla)",No,
594,13140900,"Light ice cream, fudgesicle (formerly ice milk)",4,19166,"Cocoa, dry powder, unsweetened, processed with alkali",No,
595,13142000,"Milk dessert bar or stick, frozen, with coconut",4,12109,"Nuts, coconut meat, dried (desiccated), sweetened, flaked, packaged",No,
596,13142000,"Milk dessert bar or stick, frozen, with coconut",4,1211,"Milk, whole, 3.25% milkfat, without added vitamin A and vitamin D",No,
597,13142000,"Milk dessert bar or stick, frozen, with coconut",4,1053,"Cream, fluid, heavy whipping",No,
598,13142000,"Milk dessert bar or stick, frozen, with coconut",4,1091,"Milk, dry, nonfat, regular, without added vitamin A and vitamin D",No,
599,13142000,"Milk dessert bar or stick, frozen, with coconut",4,19335,"Sugars, granulated",No,
600,13142000,"Milk dessert bar or stick, frozen, with coconut",4,42282,"gums,seaweed(agar,alginate)",No,
601,13142000,"Milk dessert bar or stick, frozen, with coconut",4,42282,"Gums, carrageenan",No,
602,13142000,"Milk dessert bar or stick, frozen, with coconut",4,14429,"Water, tap, municipal",No,
603,13150000,"Sherbet, all flavors",4,19097,"Sherbet, orange",No,
604,13160150,"Fat free ice cream, no sugar added, chocolate",4,1151,"Milk, nonfat, fluid, without added vitamin A and vitamin D (fat free or skim)",No,
605,13160150,"Fat free ice cream, no sugar added, chocolate",4,19863,"Sugars, dextrose, anhydrous",No,
606,13160150,"Fat free ice cream, no sugar added, chocolate",4,19166,"Cocoa, dry powder, unsweetened, processed with alkali",No,
607,13160150,"Fat free ice cream, no sugar added, chocolate",4,42066,"Cellulose (Alpha-cellulose, powdered cellulose, and poly-cellulose)",No,
608,13160150,"Fat free ice cream, no sugar added, chocolate",4,42281,"Gums, seed gums (includes locust bean, guar)",No,
609,13160150,"Fat free ice cream, no sugar added, chocolate",4,42282,"Gums, carrageenan",No,
610,13160150,"Fat free ice cream, no sugar added, chocolate",4,4531,"Oil, soybean lecithin",No,
611,13160150,"Fat free ice cream, no sugar added, chocolate",4,16099,"Peanut flour, defatted",No,
612,13160150,"Fat free ice cream, no sugar added, chocolate",4,19337,"Sweeteners, tabletop, aspartame, EQUAL, packets",No,
613,13160150,"Fat free ice cream, no sugar added, chocolate",4,2052,"Vanilla extract, imitation, no alcohol",No,
614,13160160,"Fat free ice cream, no sugar added, flavors other than chocolate",4,1243,"Fat free ice cream, no sugar added, flavors other than chocolate",No,
615,13160400,"Fat free ice cream, flavors other than chocolate",4,19867,"Ice creams, vanilla, fat free",No,
616,13160410,"Fat free ice cream, chocolate",4,42131,"Milk dessert, frozen, milk-fat free, chocolate",No,
617,13160420,"Fat free ice cream, NS as to flavor",4,19867,"Ice creams, vanilla, fat free",No,
618,13161000,"Milk dessert bar, frozen, made from lowfat milk",4,1244,"Milk dessert bar, frozen, made from lowfat milk",No,
619,13161500,"Milk dessert sandwich bar, frozen, made from lowfat milk",4,19096,"Ice creams, vanilla, light, soft-serve (formerly Ice milk, vanilla, soft serve)",Yes,
620,13161500,"Milk dessert sandwich bar, frozen, made from lowfat milk",4,19335,"Sugars, granulated",Yes,
621,13161500,"Milk dessert sandwich bar, frozen, made from lowfat milk",4,20481,"Wheat flour, white, all-purpose, unenriched",Yes,
622,13161500,"Milk dessert sandwich bar, frozen, made from lowfat milk",4,4651,"Oil, industrial, soy (partially hydrogenated), multiuse for non-dairy butter flavor",Yes,
623,13161500,"Milk dessert sandwich bar, frozen, made from lowfat milk",4,19860,"Cocoa, dry powder, hi-fat or breakfast, processed with alkali",Yes,
